Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,PV,Day_Perc_Change,Trend,mean,STD,Upper,Lower
2018-12-12,HINDUNILVR,EQ,1794.9,1796.0,1845.05,1795.95,1838.15,1839.1,1826.8,1449484,2647920690.5,68923,653738,45.1,2018,12,2665746024.4,2.4625327316284857,Positive,1781.7178571428572,49.14919831549967,1880.0162537738565,1683.4194605118578
2018-12-13,HINDUNILVR,EQ,1839.1,1848.0,1867.45,1837.05,1852.05,1855.55,1853.19,1586900,2940819581.0,104574,758442,47.79,2018,12,2944572295.0,0.8944592463705048,Slight Positive,1794.607142857143,42.20947240183126,1879.0260876608054,1710.1881980534804
2018-12-14,HINDUNILVR,EQ,1855.55,1837.0,1865.85,1832.75,1860.55,1860.55,1852.52,1573884,2915656040.0,84581,759032,48.23,2018,12,2928289876.2,0.2694618846164287,Slight or No Change,1802.9321428571427,42.94756466251573,1888.827272182174,1717.0370135321114
2018-12-17,HINDUNILVR,EQ,1860.55,1865.0,1869.5,1845.05,1850.75,1850.7,1855.7,1179613,2189010587.15,50816,475479,40.31,2018,12,2183109779.1,-0.5294133455161054,Slight Negative,1811.3178571428573,39.63978482800107,1890.5974267988595,1732.038287486855
2018-12-18,HINDUNILVR,EQ,1850.7,1848.9,1848.9,1833.0,1844.0,1840.75,1839.35,1521255,2798114681.9,58549,1040031,68.37,2018,12,2800250141.25,-0.5376344086021501,Slight Negative,1819.0714285714287,33.040800618265216,1885.153029807959,1752.9898273348983
2018-12-19,HINDUNILVR,EQ,1840.75,1849.95,1858.0,1842.0,1845.0,1844.8,1848.62,1687085,3118785203.6,89407,1324512,78.51,2018,12,3112334408.0,0.22001901398887025,Slight or No Change,1824.5214285714285,30.230758115951968,1884.9829448033324,1764.0599123395245
2018-12-20,HINDUNILVR,EQ,1844.8,1839.0,1854.9,1821.0,1833.0,1834.25,1839.16,1500656,2759945725.9,84823,898964,59.9,2018,12,2752578268.0,-0.5718777103209005,Slight Negative,1830.2535714285714,22.432895353866314,1875.119362136304,1785.3877807208387
2018-12-21,HINDUNILVR,EQ,1834.25,1833.0,1842.6,1800.0,1810.0,1803.5,1816.56,1439522,2614985011.9,85704,946603,65.76,2018,12,2596177927.0,-1.6764345100177214,Negative,1828.675,23.536001474041534,1875.747002948083,1781.6029970519169
2018-12-24,HINDUNILVR,EQ,1803.5,1814.0,1814.0,1777.55,1788.0,1784.65,1797.63,1023418,1839728513.15,46050,376414,36.78,2018,12,1826442933.7,-1.0451899085112235,Negative,1827.0321428571428,25.809402037202453,1878.6509469315477,1775.413338782738
2018-12-26,HINDUNILVR,EQ,1784.65,1760.0,1798.65,1741.25,1790.0,1791.6,1772.77,2212019,3921411644.1,71897,642553,29.05,2018,12,3963053240.4,0.3894321015325053,Slight or No Change,1822.9964285714286,26.66486065888028,1876.326149889189,1769.6667072536682
2018-12-27,HINDUNILVR,EQ,1791.6,1802.7,1823.0,1793.15,1816.0,1814.9,1807.59,1516851,2741845054.3,60445,801536,52.84,2018,12,2752932879.9,1.3005135074793506,Positive,1823.9535714285716,26.06769636844618,1876.088964165464,1771.8181786916793
2018-12-28,HINDUNILVR,EQ,1814.9,1817.9,1834.9,1815.7,1820.0,1822.05,1826.37,963189,1759135560.45,46234,459688,47.73,2018,12,1754978517.45,0.3939610997851117,Slight or No Change,1823.7928571428572,26.072331762194604,1875.9375206672464,1771.648193618468
2018-12-31,HINDUNILVR,EQ,1822.05,1830.0,1836.9,1811.25,1817.9,1819.65,1820.78,757071,1378463008.35,29700,412583,54.5,2018,12,1377604245.15,-0.13171976619740233,Slight or No Change,1825.4964285714289,24.853257519732093,1875.202943610893,1775.7899135319647
2019-01-01,HINDUNILVR,EQ,1819.65,1824.8,1824.8,1798.35,1799.0,1801.1,1804.57,807345,1456911127.7,23385,438072,54.26,2019,1,1454109079.5,-1.019426812848634,Negative,1825.939285714286,24.315547246844968,1874.5703802079759,1777.308191220596
2019-01-02,HINDUNILVR,EQ,1801.1,1792.4,1808.85,1771.3,1781.0,1784.6,1786.89,1598707,2856718978.55,58293,993011,62.11,2019,1,2853052512.2,-0.9161068236077984,Slight Negative,1822.0464285714286,26.32601422028652,1874.6984570120017,1769.3944001308555
2019-01-03,HINDUNILVR,EQ,1784.6,1782.6,1803.45,1782.6,1785.0,1788.4,1792.38,1182624,2119709407.95,60197,680871,57.57,2019,1,2115004761.6,0.21293287011094894,Slight or No Change,1817.2500000000002,25.865450671948157,1868.9809013438964,1765.519098656104
2019-01-04,HINDUNILVR,EQ,1788.4,1798.9,1802.0,1772.15,1780.0,1781.7,1784.94,1454134,2595536562.0,79115,862409,59.31,2019,1,2590830547.8,-0.3746365466338664,Slight or No Change,1811.6178571428575,24.245694361192772,1860.109245865243,1763.1264684204718
2019-01-07,HINDUNILVR,EQ,1781.7,1791.5,1804.0,1782.45,1784.0,1784.95,1790.16,909032,1627311434.2,30753,611874,67.31,2019,1,1622576668.4,0.18241005780996744,Slight or No Change,1806.921428571429,22.39001936208152,1851.701467295592,1762.141389847266
2019-01-08,HINDUNILVR,EQ,1784.95,1792.0,1793.5,1761.1,1769.95,1770.85,1773.74,1262707,2239711344.45,57180,804480,63.71,2019,1,2236064690.95,-0.7899380935040279,Slight Negative,1801.9285714285718,22.057344096079103,1846.04325962073,1757.8138832364136
2019-01-09,HINDUNILVR,EQ,1770.85,1777.5,1797.0,1773.4,1786.0,1785.0,1785.48,1324628,2365099189.6,72737,778203,58.75,2019,1,2364460980.0,0.7990513030465607,Slight Positive,1797.657142857143,18.642443892556358,1834.9420306422558,1760.3722550720304
2019-01-10,HINDUNILVR,EQ,1785.0,1785.0,1799.1,1779.0,1786.0,1786.2,1787.93,1313981,2349309256.2,56693,892823,67.95,2019,1,2347032862.2000003,0.06722689075631116,Slight or No Change,1794.2250000000004,15.554726588151851,1825.3344531763041,1763.1155468236966
2019-01-11,HINDUNILVR,EQ,1786.2,1795.0,1795.4,1758.55,1770.0,1769.4,1773.87,1113837,1975803617.2,52486,649663,58.33,2019,1,1970823187.8,-0.9405441719852136,Slight Negative,1791.7892857142863,16.623757079912288,1825.0367998741108,1758.5417715544618
2019-01-14,HINDUNILVR,EQ,1769.4,1771.0,1780.75,1760.1,1766.0,1763.9,1766.64,1018068,1798561084.2,36672,675559,66.36,2019,1,1795770145.2,-0.3108398327116513,Slight or No Change,1790.3071428571434,18.162999764382032,1826.6331423859074,1753.9811433283794
2019-01-15,HINDUNILVR,EQ,1763.9,1767.4,1793.4,1767.4,1786.55,1789.85,1780.97,1614600,2875557581.75,56059,1231103,76.25,2019,1,2889891810.0,1.4711718351380298,Positive,1790.1821428571434,18.159439240182074,1826.5010213375076,1753.8632643767792
2019-01-16,HINDUNILVR,EQ,1789.85,1790.0,1794.8,1766.8,1771.65,1772.55,1774.6,2054033,3645095839.05,53605,1545518,75.24,2019,1,3640876194.15,-0.9665614436964008,Slight Negative,1787.157142857143,17.228686466588577,1821.6145157903202,1752.699769923966
2019-01-17,HINDUNILVR,EQ,1772.55,1776.9,1779.25,1742.5,1750.0,1751.5,1760.88,1941204,3418235345.45,80743,895796,46.15,2019,1,3400018806.0,-1.1875546529011904,Negative,1782.1178571428575,16.541691002136172,1815.2012391471299,1749.034475138585
2019-01-18,HINDUNILVR,EQ,1751.5,1750.0,1768.85,1727.3,1746.4,1744.1,1746.76,3234056,5649114893.35,119528,1229772,38.03,2019,1,5640517069.599999,-0.42249500428205294,Slight or No Change,1776.7214285714288,15.655310161893397,1808.0320488952157,1745.4108082476419
